Loan,Alpha_CH,Alpha_EU,Alpha_US
ABC247,0.37,0,0
ABC248,0.32,0,0
ABC249,0.69,0,0
ABC250,0.34,0,0
ABC251,0.62,0,0
ABC252,0.64,0,0
ABC253,0.24,0,0
ABC254,0.48,0,0
ABC255,0.68,0,0
ABC256,0.79,0,0
ABC257,0.68,0,0
ABC258,0.37,0,0
ABC259,0.77,0,0
ABC260,0.69,0,0
ABC261,0.26,0,0
ABC262,0.8,0,0
ABC263,0.47,0,0
ABC264,0.49,0,0
ABC265,0.65,0,0
ABC266,0.67,0,0
ABC267,0.51,0,0
ABC268,0.52,0,0
ABC269,0.34,0,0
ABC270,0.4,0,0
ABC271,0.6,0,0
ABC272,0.36,0,0
ABC273,0.75,0,0
ABC274,0.35,0,0
ABC275,0.67,0,0
ABC276,0.51,0,0
ABC277,0.51,0,0
ABC278,0.49,0,0
ABC279,0.69,0,0
ABC280,0.73,0,0
ABC281,0.4,0,0
ABC282,0.5,0,0
ABC283,0.62,0,0
ABC284,0.54,0,0
ABC285,0.2,0,0
ABC286,0.23,0,0
ABC287,0.66,0,0
ABC288,0.43,0,0
ABC289,0.75,0,0
ABC290,0.52,0,0
ABC291,0.79,0,0
ABC292,0.65,0,0
ABC293,0.34,0,0
ABC294,0.28,0,0
ABC295,0.43,0,0
ABC296,0.31,0,0
ABC297,0.79,0,0
ABC298,0.75,0,0
ABC299,0.37,0,0
ABC300,0.34,0,0
ABC301,0.76,0,0
ABC302,0.62,0,0
ABC303,0.79,0,0
ABC304,0.59,0,0
ABC305,0.57,0,0
ABC306,0.75,0,0
ABC307,0.75,0,0
ABC308,0.22,0,0
ABC309,0.23,0,0
ABC310,0.27,0,0
ABC311,0.26,0,0
ABC312,0.7,0,0
ABC313,0.53,0,0
ABC314,0.54,0,0
ABC315,0.64,0,0
ABC316,0.25,0,0
ABC317,0.61,0,0
ABC318,0.56,0,0
ABC319,0.78,0,0
ABC320,0.8,0,0
ABC321,0.57,0,0
ABC322,0.38,0,0
ABC323,0.62,0,0
ABC324,0.74,0,0
ABC325,0.22,0,0
ABC326,0.43,0,0
ABC327,0.48,0,0
ABC328,0.32,0,0
ABC329,0.3,0,0
ABC330,0.66,0,0
ABC331,0.34,0,0
ABC332,0.26,0,0
ABC333,0.79,0,0
ABC334,0.26,0,0
ABC335,0.44,0,0
ABC336,0.21,0,0
ABC337,0.7,0,0
ABC338,0.31,0,0
ABC339,0.73,0,0
ABC340,0.46,0,0
ABC341,0.79,0,0
ABC342,0.64,0,0
ABC343,0.77,0,0
ABC344,0.46,0,0
ABC345,0.32,0,0
ABC346,0.28,0,0
ABC347,0.33,0,0
ABC348,0.58,0,0
ABC349,0.74,0,0
ABC350,0.31,0,0
ABC351,0.43,0,0
ABC352,0.65,0,0
ABC353,0.48,0,0
ABC354,0.23,0,0
ABC355,0.2,0,0
ABC356,0.6,0,0
ABC357,0.56,0,0
ABC358,0.5,0,0
ABC359,0.75,0,0
ABC360,0.36,0,0
ABC361,0.66,0,0
ABC362,0.71,0,0
ABC363,0.47,0,0
ABC364,0.76,0,0
ABC365,0.31,0,0
ABC366,0.49,0,0
ABC367,0.46,0,0
ABC368,0.53,0,0
ABC369,0.38,0,0
ABC370,0.61,0,0
ABC371,0.58,0,0
ABC372,0.75,0,0
ABC373,0.55,0,0
ABC374,0.56,0,0
ABC375,0.57,0,0
ABC376,0.21,0,0
ABC377,0.63,0,0
ABC378,0.74,0,0
ABC379,0.65,0,0
ABC380,0.62,0,0
ABC381,0.29,0,0
ABC382,0.24,0,0
ABC383,0.23,0,0
ABC384,0.61,0,0
ABC385,0.45,0,0
ABC386,0.5,0,0
ABC387,0.49,0,0
ABC388,0.29,0,0
ABC389,0.32,0,0
ABC390,0.78,0,0
ABC391,0.62,0,0
ABC392,0.49,0,0
ABC393,0.78,0,0
ABC394,0.79,0,0
ABC395,0.44,0,0
ABC396,0.2,0,0
ABC397,0.62,0,0
ABC398,0.45,0,0
ABC399,0.61,0,0
ABC400,0.4,0,0
ABC401,0.38,0,0
ABC402,0.38,0,0
ABC403,0.51,0,0
ABC404,0.49,0,0
ABC405,0.46,0,0
ABC406,0.52,0,0
ABC407,0.79,0,0
ABC408,0.32,0,0
ABC409,0.54,0,0
ABC410,0.5,0,0
ABC411,0.34,0,0
ABC412,0.78,0,0
ABC413,0.79,0,0
ABC414,0.65,0,0
ABC415,0.66,0,0
ABC416,0.68,0,0
ABC417,0.25,0,0
ABC418,0.67,0,0
ABC419,0.32,0,0
ABC420,0.57,0,0
ABC421,0.42,0,0
ABC422,0.75,0,0
ABC423,0.47,0,0
ABC424,0.51,0,0
ABC425,0.59,0,0
ABC426,0.25,0,0
ABC427,0.26,0,0
ABC428,0.8,0,0
ABC429,0.42,0,0
ABC430,0.54,0,0
ABC431,0.31,0,0
ABC432,0.2,0,0
ABC433,0.41,0,0
ABC434,0.6,0,0
ABC435,0.52,0,0
ABC436,0.69,0,0
ABC437,0.38,0,0
ABC438,0.32,0,0
ABC439,0.66,0,0
ABC440,0.71,0,0
ABC441,0.39,0,0
ABC442,0.53,0,0
ABC443,0.5,0,0
ABC444,0.63,0,0
ABC445,0.65,0,0
ABC446,0.32,0,0
ABC447,0.78,0,0
ABC448,0.44,0,0
ABC449,0.25,0,0
ABC450,0.23,0,0
ABC451,0.24,0,0
ABC452,0.23,0,0
ABC453,0.32,0,0
ABC454,0.69,0,0
ABC455,0.25,0,0
ABC456,0.24,0,0
ABC457,0.67,0,0
ABC458,0.76,0,0
ABC459,0.55,0,0
ABC460,0.78,0,0
ABC461,0.67,0,0
ABC462,0.63,0,0
ABC463,0.68,0,0
ABC464,0.65,0,0
ABC465,0.43,0,0
ABC466,0.7,0,0
ABC467,0.75,0,0
ABC468,0.6,0,0
ABC469,0.65,0,0
ABC470,0.56,0,0
ABC471,0.69,0,0
ABC472,0.76,0,0
ABC473,0.55,0,0
ABC474,0.24,0,0
ABC475,0.75,0,0
ABC476,0.26,0,0
ABC477,0.72,0,0
ABC478,0.62,0,0
ABC479,0.22,0,0
ABC480,0.69,0,0
ABC481,0.21,0,0
ABC482,0.72,0,0
ABC483,0.53,0,0
ABC484,0.5,0,0
ABC485,0.31,0,0
ABC486,0.77,0,0
ABC487,0.44,0,0
ABC488,0.68,0,0
ABC489,0.24,0,0
ABC490,0.4,0,0
ABC491,0.48,0,0
ABC492,0.47,0,0
ABC493,0.23,0,0
ABC494,0.5,0,0
ABC495,0.25,0,0
ABC496,0.25,0,0
ABC497,0.62,0,0
ABC498,0.34,0,0
ABC499,0.69,0,0
ABC500,0.66,0,0
ABC501,0.47,0,0
ABC502,0.38,0,0
ABC503,0.54,0,0
ABC504,0.3,0,0
ABC505,0.77,0,0
ABC506,0.21,0,0
ABC507,0.5,0,0
ABC508,0.32,0,0
ABC509,0.37,0,0
ABC510,0.52,0,0
ABC511,0.36,0,0
ABC512,0.31,0,0
ABC513,0.59,0,0
ABC514,0.6,0,0
ABC515,0.37,0,0
ABC516,0.52,0,0
ABC517,0.29,0,0
ABC518,0.69,0,0
ABC519,0.27,0,0
ABC520,0.41,0,0
ABC521,0.34,0,0
ABC522,0.39,0,0
ABC523,0.56,0,0
ABC524,0.5,0,0
ABC525,0.32,0,0
ABC526,0.69,0,0
ABC527,0.72,0,0
ABC528,0.38,0,0
ABC529,0.49,0,0
ABC530,0.51,0,0
ABC531,0.72,0,0
ABC532,0.43,0,0
ABC533,0.67,0,0
ABC534,0.53,0,0
ABC535,0.39,0,0
ABC536,0.66,0,0
ABC537,0.77,0,0
ABC538,0.8,0,0
ABC539,0.33,0,0
ABC540,0.61,0,0
ABC541,0.77,0,0
ABC542,0.58,0,0
ABC543,0.38,0,0
ABC544,0.7,0,0
ABC545,0.78,0,0
ABC546,0.2,0,0
ABC547,0.25,0,0
ABC548,0.69,0,0
ABC549,0.22,0,0
ABC550,0.39,0,0
ABC551,0.8,0,0
ABC552,0.6,0,0
ABC553,0.3,0,0
ABC554,0.49,0,0
ABC555,0.43,0,0
ABC556,0.49,0,0
ABC557,0.62,0,0
ABC558,0.43,0,0
ABC559,0.66,0,0
ABC560,0.2,0,0
ABC561,0.29,0,0
ABC562,0.44,0,0
ABC563,0.45,0,0
ABC564,0.57,0,0
ABC565,0.61,0,0
ABC566,0.35,0,0
ABC567,0.48,0,0
ABC568,0.7,0,0
ABC569,0.49,0,0
ABC570,0.72,0,0
ABC571,0.47,0,0
ABC572,0.59,0,0
ABC573,0.48,0,0
ABC574,0.67,0,0
ABC575,0.5,0,0
ABC576,0.58,0,0
ABC577,0.52,0,0
ABC578,0.3,0,0
ABC579,0.74,0,0
ABC580,0.71,0,0
ABC581,0.28,0,0
ABC582,0.63,0,0
ABC583,0.51,0,0
ABC584,0.65,0,0
ABC585,0.69,0,0
ABC586,0.66,0,0
ABC587,0.29,0,0
ABC588,0.78,0,0
ABC589,0.77,0,0
ABC590,0.28,0,0
ABC591,0.51,0,0
ABC592,0.3,0,0
ABC593,0.79,0,0
ABC594,0.75,0,0
ABC595,0.56,0,0
ABC596,0.64,0,0
ABC597,0.5,0,0
ABC598,0.79,0,0
ABC599,0.41,0,0
ABC600,0.26,0,0
ABC601,0.28,0,0
ABC602,0.73,0,0
ABC603,0.49,0,0
ABC604,0.43,0,0
ABC605,0.77,0,0
ABC606,0.78,0,0
ABC607,0.29,0,0
ABC608,0.48,0,0
ABC609,0.36,0,0
ABC610,0.34,0,0
ABC611,0.79,0,0
ABC612,0.72,0,0
ABC613,0.44,0,0
ABC614,0.63,0,0
ABC615,0.54,0,0
ABC616,0.4,0,0
ABC617,0.24,0,0
ABC618,0.35,0,0
ABC619,0.24,0,0
ABC620,0.28,0,0
ABC621,0.35,0,0
ABC622,0.78,0,0
ABC623,0.52,0,0
ABC624,0.37,0,0
ABC625,0.56,0,0
ABC626,0.42,0,0
ABC627,0.63,0,0
ABC628,0.23,0,0
ABC629,0.2,0,0
ABC630,0.48,0,0
ABC631,0.23,0,0
ABC632,0.45,0,0
ABC633,0.45,0,0
ABC634,0.5,0,0
ABC635,0.3,0,0
ABC636,0.38,0,0
ABC637,0.53,0,0
ABC638,0.48,0,0
ABC639,0.71,0,0
ABC640,0.75,0,0
ABC641,0.38,0,0
ABC642,0.56,0,0
ABC643,0.54,0,0
ABC644,0.68,0,0
ABC645,0.22,0,0
ABC646,0.2,0,0
ABC647,0.53,0,0
ABC648,0.35,0,0
ABC649,0.74,0,0
ABC650,0.63,0,0
ABC651,0.39,0,0
ABC652,0.78,0,0
ABC653,0.33,0,0
ABC654,0.37,0,0
ABC655,0.75,0,0
ABC656,0.35,0,0
ABC657,0.75,0,0
ABC658,0.48,0,0
ABC659,0.65,0,0
ABC660,0.64,0,0
ABC661,0.64,0,0
ABC662,0.25,0,0
ABC663,0.69,0,0
ABC664,0.63,0,0
ABC665,0.3,0,0
ABC666,0.61,0,0
ABC667,0.68,0,0
ABC668,0.45,0,0
ABC669,0.73,0,0
ABC670,0.43,0,0
ABC671,0.53,0,0
ABC672,0.5,0,0
ABC673,0.5,0,0
ABC674,0.23,0,0
ABC675,0.41,0,0
ABC676,0.37,0,0
ABC677,0.27,0,0
ABC678,0.75,0,0
ABC679,0.53,0,0
ABC680,0.23,0,0
ABC681,0.57,0,0
ABC682,0.48,0,0
ABC683,0.74,0,0
ABC684,0.6,0,0
ABC685,0.6,0,0
ABC686,0.47,0,0
ABC687,0.48,0,0
ABC688,0.31,0,0
ABC689,0.24,0,0
ABC690,0.33,0,0
ABC691,0.42,0,0
ABC692,0.69,0,0
ABC693,0.66,0,0
ABC694,0.46,0,0
ABC695,0.4,0,0
ABC696,0.23,0,0
ABC697,0.4,0,0
ABC698,0.48,0,0
ABC699,0.27,0,0
ABC700,0.73,0,0
ABC701,0.31,0,0
ABC702,0.58,0,0
ABC703,0.66,0,0
ABC704,0.29,0,0
ABC705,0.26,0,0
ABC706,0.58,0,0
ABC707,0.68,0,0
ABC708,0.43,0,0
ABC709,0.71,0,0
ABC710,0.69,0,0
ABC711,0.27,0,0
ABC712,0.48,0,0
ABC713,0.51,0,0
ABC714,0.35,0,0
ABC715,0.8,0,0
ABC716,0.78,0,0
ABC717,0.45,0,0
ABC718,0.68,0,0
ABC719,0.74,0,0
ABC720,0.28,0,0
ABC721,0.69,0,0
ABC722,0.77,0,0
ABC723,0.58,0,0
ABC724,0.22,0,0
ABC725,0.59,0,0
ABC726,0.51,0,0
ABC727,0.66,0,0
ABC728,0.33,0,0
ABC729,0.7,0,0
ABC730,0.29,0,0
ABC731,0.3,0,0
ABC732,0.41,0,0
ABC733,0.77,0,0
ABC734,0.45,0,0
ABC735,0.6,0,0
ABC736,0.74,0,0
ABC737,0.71,0,0
ABC738,0.21,0,0
ABC739,0.45,0,0
ABC740,0.55,0,0
ABC741,0.67,0,0
ABC742,0.54,0,0
ABC743,0.58,0,0
ABC744,0.37,0,0
ABC745,0.67,0,0
ABC746,0.52,0,0
ABC747,0.49,0,0
ABC748,0.65,0,0
ABC749,0.22,0,0
ABC750,0.51,0,0
ABC751,0.58,0,0
ABC752,0.57,0,0
ABC753,0.28,0,0
ABC754,0.73,0,0
ABC755,0.78,0,0
ABC756,0.6,0,0
ABC757,0.5,0,0
ABC758,0.64,0,0
ABC759,0.42,0,0
ABC760,0.7,0,0
ABC761,0.36,0,0
ABC762,0.66,0,0
ABC763,0.74,0,0
ABC764,0.78,0,0
ABC765,0.55,0,0
ABC766,0.71,0,0
ABC767,0.56,0,0
ABC768,0.22,0,0
ABC769,0.54,0,0
ABC770,0.6,0,0
ABC771,0.36,0,0
ABC772,0.44,0,0
ABC773,0.6,0,0
ABC774,0.79,0,0
ABC775,0.41,0,0
ABC776,0.64,0,0
ABC777,0.71,0,0
ABC778,0.74,0,0
ABC779,0.56,0,0
ABC780,0.3,0,0
ABC781,0.23,0,0
ABC782,0.23,0,0
ABC783,0.48,0,0
ABC784,0.26,0,0
ABC785,0.76,0,0
ABC786,0.57,0,0
ABC787,0.52,0,0
ABC788,0.49,0,0
ABC789,0.72,0,0
ABC790,0.68,0,0
ABC791,0.47,0,0
ABC792,0.49,0,0
ABC793,0.64,0,0
ABC794,0.27,0,0
ABC795,0.28,0,0
ABC796,0.61,0,0
ABC797,0.45,0,0
ABC798,0.53,0,0
ABC799,0.47,0,0
ABC800,0.71,0,0
ABC801,0.78,0,0
ABC802,0.78,0,0
ABC803,0.48,0,0
ABC804,0.41,0,0
ABC805,0.38,0,0
ABC806,0.45,0,0
ABC807,0.74,0,0
ABC808,0.34,0,0
ABC809,0.44,0,0
ABC810,0.68,0,0
ABC811,0.4,0,0
ABC812,0.5,0,0
ABC813,0.62,0,0
ABC814,0.79,0,0
ABC815,0.26,0,0
ABC816,0.62,0,0
ABC817,0.65,0,0
ABC818,0.75,0,0
ABC819,0.24,0,0
ABC820,0.46,0,0
ABC821,0.79,0,0
ABC822,0.66,0,0
ABC823,0.54,0,0
ABC824,0.62,0,0
ABC825,0.22,0,0
ABC826,0.5,0,0
ABC827,0.42,0,0
ABC828,0.4,0,0
ABC829,0.68,0,0
ABC830,0.68,0,0
ABC831,0.31,0,0
ABC832,0.5,0,0
ABC833,0.57,0,0
ABC834,0.44,0,0
ABC835,0.54,0,0
ABC836,0.23,0,0
ABC837,0.65,0,0
ABC838,0.28,0,0
ABC839,0.27,0,0
ABC840,0.42,0,0
ABC841,0.48,0,0
ABC842,0.35,0,0
ABC843,0.21,0,0
ABC844,0.35,0,0
ABC845,0.35,0,0
ABC846,0.32,0,0
ABC847,0.43,0,0
ABC848,0.69,0,0
ABC849,0.41,0,0
ABC850,0.23,0,0
ABC851,0.66,0,0
ABC852,0.55,0,0
ABC853,0.29,0,0
ABC854,0.31,0,0
ABC855,0.8,0,0
ABC856,0.53,0,0
ABC857,0.5,0,0
ABC858,0.33,0,0
ABC859,0.39,0,0
ABC860,0.8,0,0
ABC861,0.46,0,0
ABC862,0.53,0,0
ABC863,0.65,0,0
ABC864,0.8,0,0
ABC865,0.54,0,0
ABC866,0.7,0,0
ABC867,0.22,0,0
ABC868,0.72,0,0
ABC869,0.61,0,0
ABC870,0.3,0,0
ABC871,0.71,0,0
ABC872,0.29,0,0
ABC873,0.46,0,0
ABC874,0.25,0,0
ABC875,0.3,0,0
ABC876,0.55,0,0
ABC877,0.54,0,0
ABC878,0.23,0,0
ABC879,0.25,0,0
ABC880,0.26,0,0
ABC881,0.5,0,0
ABC882,0.72,0,0
ABC883,0.77,0,0
ABC884,0.47,0,0
ABC885,0.79,0,0
ABC886,0.38,0,0
ABC887,0.51,0,0
ABC888,0.56,0,0
ABC889,0.49,0,0
ABC890,0.51,0,0
ABC891,0.68,0,0
ABC892,0.4,0,0
ABC893,0.45,0,0
ABC894,0.72,0,0
ABC895,0.25,0,0
ABC896,0.54,0,0
ABC897,0.64,0,0
ABC898,0.49,0,0
ABC899,0.78,0,0
ABC900,0.45,0,0
ABC901,0.79,0,0
ABC902,0.33,0,0
ABC903,0.46,0,0
ABC904,0.71,0,0
ABC905,0.44,0,0
ABC906,0.63,0,0
ABC907,0.35,0,0
ABC908,0.77,0,0
ABC909,0.31,0,0
ABC910,0.69,0,0
ABC911,0.66,0,0
ABC912,0.45,0,0
ABC913,0.34,0,0
ABC914,0.74,0,0
ABC915,0.31,0,0
ABC916,0.53,0,0
ABC917,0.39,0,0
ABC918,0.67,0,0
ABC919,0.52,0,0
ABC920,0.65,0,0
ABC921,0.62,0,0
ABC922,0.22,0,0
ABC923,0.42,0,0
ABC924,0.74,0,0
ABC925,0.36,0,0
ABC926,0.76,0,0
ABC927,0.34,0,0
ABC928,0.63,0,0
ABC929,0.55,0,0
ABC930,0.25,0,0
ABC931,0.71,0,0
ABC932,0.56,0,0
ABC933,0.63,0,0
ABC934,0.6,0,0
ABC935,0.38,0,0
ABC936,0.38,0,0
ABC937,0.78,0,0
ABC938,0.44,0,0
ABC939,0.21,0,0
ABC940,0.73,0,0
ABC941,0.54,0,0
ABC942,0.48,0,0
ABC943,0.41,0,0
ABC944,0.68,0,0
ABC945,0.27,0,0
ABC946,0.76,0,0
ABC947,0.59,0,0
ABC948,0.42,0,0
ABC949,0.61,0,0
ABC950,0.78,0,0
ABC951,0.43,0,0
ABC952,0.24,0,0
ABC953,0.2,0,0
ABC954,0.64,0,0
ABC955,0.61,0,0
ABC956,0.54,0,0
ABC957,0.53,0,0
ABC958,0.34,0,0
ABC959,0.62,0,0
ABC960,0.61,0,0
ABC961,0.45,0,0
ABC962,0.48,0,0
ABC963,0.76,0,0
ABC964,0.65,0,0
ABC965,0.73,0,0
ABC966,0.65,0,0
ABC967,0.25,0,0
ABC968,0.44,0,0
ABC969,0.36,0,0
ABC970,0.21,0,0
ABC971,0.57,0,0
ABC972,0.68,0,0
ABC973,0.22,0,0
ABC974,0.22,0,0
ABC975,0.35,0,0
ABC976,0.77,0,0
ABC977,0.66,0,0
ABC978,0.23,0,0
ABC979,0.47,0,0
ABC980,0.73,0,0
ABC981,0.69,0,0
ABC982,0.35,0,0
ABC983,0.55,0,0
ABC984,0.74,0,0
ABC985,0.62,0,0
ABC986,0.51,0,0
ABC987,0.58,0,0
ABC988,0.68,0,0
ABC989,0.62,0,0
ABC990,0.55,0,0
ABC991,0.25,0,0
ABC992,0.66,0,0
ABC993,0.42,0,0
ABC994,0.59,0,0
ABC995,0.35,0,0
ABC996,0.44,0,0
ABC997,0.42,0,0
ABC998,0.8,0,0
ABC999,0.62,0,0
ABC1000,0.6,0,0
ABC1001,0.32,0,0
ABC1002,0.61,0,0
ABC1003,0.8,0,0
ABC1004,0.25,0,0
ABC1005,0.61,0,0
ABC1006,0.21,0,0
ABC1007,0.79,0,0
ABC1008,0.64,0,0
ABC1009,0.51,0,0
ABC1010,0.21,0,0
ABC1011,0.32,0,0
ABC1012,0.73,0,0
ABC1013,0.33,0,0
ABC1014,0.79,0,0
ABC1015,0.32,0,0
ABC1016,0.28,0,0
ABC1017,0.51,0,0
ABC1018,0.38,0,0
ABC1019,0.56,0,0
ABC1020,0.32,0,0
ABC1021,0.22,0,0
ABC1022,0.58,0,0
ABC1023,0.49,0,0
ABC1024,0.3,0,0
ABC1025,0.4,0,0
ABC1026,0.34,0,0
ABC1027,0.44,0,0
ABC1028,0.47,0,0
ABC1029,0.45,0,0
ABC1030,0.26,0,0
ABC1031,0.77,0,0
ABC1032,0.6,0,0
ABC1033,0.65,0,0
ABC1034,0.27,0,0
ABC1035,0.6,0,0
ABC1036,0.58,0,0
ABC1037,0.43,0,0
ABC1038,0.78,0,0
ABC1039,0.27,0,0
ABC1040,0.46,0,0
ABC1041,0.33,0,0
ABC1042,0.74,0,0
ABC1043,0.23,0,0
ABC1044,0.45,0,0
ABC1045,0.27,0,0
ABC1046,0.47,0,0
ABC1047,0.43,0,0
ABC1048,0.33,0,0
ABC1049,0.57,0,0
ABC1050,0.42,0,0
ABC1051,0.31,0,0
ABC1052,0.76,0,0
ABC1053,0.5,0,0
ABC1054,0.55,0,0
ABC1055,0.37,0,0
ABC1056,0.62,0,0
ABC1057,0.79,0,0
ABC1058,0.63,0,0
ABC1059,0.2,0,0
ABC1060,0.5,0,0
ABC1061,0.7,0,0
ABC1062,0.57,0,0
ABC1063,0.74,0,0
ABC1064,0.3,0,0
ABC1065,0.55,0,0
ABC1066,0.5,0,0
ABC1067,0.75,0,0
