Loan,Region,Rating,EAD,LGD
ABC77,CH,BB,47086.58,0.2
ABC78,CH,BBB,35263.13,0.2
ABC79,CH,BBB,315989.03,0.2
ABC80,CH,B,61372.81,0.2
ABC81,CH,BBB,71787.11,0.2
ABC82,CH,A,107209,0.2
ABC83,CH,BBB,20300.35,0.2
ABC84,CH,BBB,652.85,0.2
ABC85,CH,A,461952.09,0.2
ABC86,CH,BB,362099.92,0.2
ABC87,CH,BB,50599.51,0.2
ABC88,CH,BBB,124063.75,0.2
ABC89,CH,BBB,55614.43,0.2
ABC90,CH,BBB,162098.2,0.2
ABC91,CH,BB,158886.81,0.2
ABC92,CH,A,24902.7,0.2
ABC93,CH,AA,7443.28,0.2
ABC94,CH,BB,22913.01,0.2
ABC95,CH,BBB,36915.36,0.2
ABC96,CH,A,180193.43,0.2
ABC97,CH,AA,15643.63,0.2
ABC98,CH,BBB,102728.87,0.2
ABC99,CH,BBB,54284.58,0.2
ABC100,CH,AA,74563.31,0.2
ABC101,CH,BB,176324.92,0.2
ABC102,CH,AA,284.9,0.2
ABC103,CH,BBB,310407.91,0.2
ABC104,CH,BB,22146.4,0.2
ABC105,CH,BBB,112888.09,0.2
ABC106,CH,BBB,3602.48,0.2
ABC107,CH,BBB,127637.67,0.2
ABC108,CH,BBB,96525.57,0.2
ABC109,CH,AA,4335.87,0.2
ABC110,CH,BB,117504.83,0.2
ABC111,CH,B,22646.57,0.2
ABC112,CH,BB,39226.82,0.2
ABC113,CH,BBB,209411.46,0.2
ABC114,CH,BBB,106836.95,0.2
ABC115,CH,BBB,89179.57,0.2
ABC116,CH,B,74635.95,0.2
ABC117,CH,BBB,4951.85,0.2
ABC118,CH,BBB,71120.32,0.2
ABC119,CH,BBB,310293.48,0.2
ABC120,CH,BBB,3640.69,0.2
ABC121,CH,A,10661.61,0.2
ABC122,CH,BB,23569.84,0.2
ABC123,CH,BBB,224977.43,0.2
ABC124,CH,A,87953.3,0.2
ABC125,CH,A,43382.81,0.2
ABC126,CH,BBB,914.23,0.2
ABC127,CH,BBB,10.65,0.2
ABC128,CH,A,33945.24,0.2
ABC129,CH,BB,8213.89,0.2
ABC130,CH,CCC,45934.37,0.2
ABC131,CH,BBB,63060.47,0.2
ABC132,CH,BBB,55365.28,0.2
ABC133,CH,A,66130.82,0.2
ABC134,CH,BBB,68514.16,0.2
ABC135,CH,BB,6611.9,0.2
ABC136,CH,BB,47445.95,0.2
ABC137,CH,BBB,61666.4,0.2
ABC138,CH,BB,154658.19,0.2
ABC139,CH,BBB,175799.99,0.2
ABC140,CH,AA,8067.74,0.2
ABC141,CH,BB,26894.81,0.2
ABC142,CH,BBB,35820.97,0.2
ABC143,CH,B,13363.21,0.2
ABC144,CH,BBB,41094.27,0.2
ABC145,CH,BBB,4396.09,0.2
ABC146,CH,BB,28524.79,0.2
ABC147,CH,BB,35906.03,0.2
ABC148,CH,BBB,29661.23,0.2
ABC149,CH,BBB,46786.96,0.2
ABC150,CH,BBB,83843.11,0.2
ABC151,CH,BBB,145827,0.2
ABC152,CH,A,77209.95,0.2
ABC153,CH,BBB,1858.13,0.2
ABC154,CH,CCC,20786.59,0.2
ABC155,CH,BBB,64230.53,0.2
ABC156,CH,BB,67715.75,0.2
ABC157,CH,BB,47260.76,0.2
ABC158,CH,BBB,546.65,0.2
ABC159,CH,A,20794.38,0.2
ABC160,CH,BBB,4097.88,0.2
ABC161,CH,BBB,346235.35,0.2
ABC162,CH,A,69685.65,0.2
ABC163,CH,B,51454.85,0.2
ABC164,CH,BB,128823.55,0.2
ABC165,CH,BBB,28432.3,0.2
ABC166,CH,A,23019.01,0.2
ABC167,CH,BB,433399.81,0.2
ABC168,CH,A,213327.21,0.2
ABC169,CH,BBB,124514.11,0.2
ABC170,CH,BBB,59666.12,0.2
ABC171,CH,A,30271.57,0.2
ABC172,CH,BBB,97198.07,0.2
ABC173,CH,A,275837.32,0.2
ABC174,CH,BB,177269.94,0.2
ABC175,CH,BBB,5431.19,0.2
ABC176,CH,BBB,107486.98,0.2
ABC177,CH,BBB,91735.65,0.2
ABC178,CH,A,175300.73,0.2
ABC179,CH,BBB,73579.8,0.2
ABC180,CH,BBB,146560.06,0.2
ABC181,CH,A,11160.46,0.2
ABC182,CH,A,51530.91,0.2
ABC183,CH,BB,222884.63,0.2
ABC184,CH,BB,68393.19,0.2
ABC185,CH,BB,61600.31,0.2
ABC186,CH,A,37026.14,0.2
ABC187,CH,BBB,56631.7,0.2
ABC188,CH,BBB,43555.2,0.2
ABC189,CH,BBB,292335.97,0.2
ABC190,CH,A,173458.62,0.2
ABC191,CH,A,594944.43,0.2
ABC192,CH,A,124781.45,0.2
ABC193,CH,BBB,81314.51,0.2
ABC194,CH,BBB,3435.85,0.2
ABC195,CH,BBB,43034.36,0.2
ABC196,CH,BBB,53109.74,0.2
ABC197,CH,BBB,24833.91,0.2
ABC198,CH,BBB,46542.26,0.2
ABC199,CH,A,184768.05,0.2
ABC200,CH,BBB,14569.45,0.2
ABC201,CH,A,19534.59,0.2
ABC202,CH,BBB,286304.59,0.2
ABC203,CH,BB,24643.16,0.2
ABC204,CH,A,137540.77,0.2
ABC205,CH,BBB,77079.69,0.2
ABC206,CH,B,280278.82,0.2
ABC207,CH,BB,38856.22,0.2
ABC208,CH,BB,82997.65,0.2
ABC209,CH,A,212009.44,0.2
ABC210,CH,A,182746.17,0.2
ABC211,CH,BBB,103680.32,0.2
ABC212,CH,BBB,55551.8,0.2
ABC213,CH,B,25971.72,0.2
ABC214,CH,CCC,98231.34,0.2
ABC215,CH,BBB,36331.53,0.2
ABC216,CH,BB,71051.63,0.2
ABC217,CH,BB,306.85,0.2
ABC218,CH,A,158411.37,0.2
ABC219,CH,BBB,21076.95,0.2
ABC220,CH,BBB,47790.19,0.2
ABC221,CH,BB,27317.91,0.2
ABC222,CH,BBB,50528.16,0.2
ABC223,CH,BB,81228.83,0.2
ABC224,CH,BB,4815.68,0.2
ABC225,CH,BBB,114551.69,0.2
ABC226,CH,A,16544.65,0.2
ABC227,CH,BB,195156.05,0.2
ABC228,CH,BBB,6192.93,0.2
ABC229,CH,AA,38388.33,0.2
ABC230,CH,BBB,6884.43,0.2
ABC231,CH,BBB,211916.78,0.2
ABC232,CH,BB,137944.66,0.2
ABC233,CH,A,291705.04,0.2
ABC234,CH,A,66277.22,0.2
ABC235,CH,A,180148.38,0.2
ABC236,CH,BB,9693.36,0.2
ABC237,CH,BBB,7520.74,0.2
ABC238,CH,BB,143196.33,0.2
ABC239,CH,B,253441.08,0.2
ABC240,CH,BBB,59284.32,0.2
ABC241,CH,BBB,37394.87,0.2
ABC242,CH,AA,201267.51,0.2
ABC243,CH,A,147244.21,0.2
ABC244,CH,BB,22962.2,0.2
ABC245,CH,BBB,37566.56,0.2
ABC246,CH,BBB,58383.76,0.2
ABC247,CH,A,25355.04,0.2
ABC248,CH,BBB,1203.1,0.2
ABC249,CH,A,37516.56,0.2
ABC250,CH,A,44721.03,0.2
ABC251,CH,BBB,106775.44,0.2
ABC252,CH,A,104581.23,0.2
ABC253,CH,BBB,161460.83,0.2
ABC254,CH,BBB,343248.96,0.2
ABC255,CH,BBB,17294.27,0.2
ABC256,CH,CCC,206024.15,0.2
ABC257,CH,BBB,122343.91,0.2
ABC258,CH,BBB,112095.88,0.2
ABC259,CH,B,94579.89,0.2
ABC260,CH,CCC,111066.63,0.2
ABC261,CH,BBB,84635.33,0.2
ABC262,CH,BBB,1874.25,0.2
ABC263,CH,BBB,160127.36,0.2
ABC264,CH,BBB,80780.87,0.2
ABC265,CH,A,11700.53,0.2
ABC266,CH,A,69476.56,0.2
ABC267,CH,BB,150368.02,0.2
ABC268,CH,BBB,131373.32,0.2
ABC269,CH,BBB,3270.43,0.2
ABC270,CH,A,411488.6,0.2
ABC271,CH,A,54763.93,0.2
ABC272,CH,AA,260094.52,0.2
ABC273,CH,BBB,3402.58,0.2
ABC274,CH,BBB,47324.22,0.2
ABC275,CH,BBB,76070.26,0.2
ABC276,CH,BBB,62492.18,0.2
ABC277,CH,BBB,75483.68,0.2
ABC278,CH,BBB,30739.64,0.2
ABC279,CH,BBB,43130.34,0.2
ABC280,CH,A,106803.71,0.2
ABC281,CH,BB,24324.93,0.2
ABC282,CH,A,507255.77,0.2
ABC283,CH,A,63113.63,0.2
ABC284,CH,A,380039.24,0.2
ABC285,CH,BBB,44289.7,0.2
ABC286,CH,CCC,252698.02,0.2
ABC287,CH,BBB,35096.01,0.2
ABC288,CH,BB,2357.09,0.2
ABC289,CH,BBB,190761.39,0.2
ABC290,CH,BBB,25642.07,0.2
ABC291,CH,A,16431.35,0.2
ABC292,CH,B,53179.76,0.2
ABC293,CH,BBB,298472.45,0.2
ABC294,CH,BBB,77976.57,0.2
ABC295,CH,BB,132969.18,0.2
ABC296,CH,BBB,138877.26,0.2
ABC297,CH,AA,59614.75,0.2
ABC298,CH,BB,52109.43,0.2
ABC299,CH,BBB,80640.85,0.2
ABC300,CH,A,34631.66,0.2
ABC301,CH,BBB,98823.86,0.2
ABC302,CH,BBB,763.17,0.2
ABC303,CH,BBB,15246.93,0.2
ABC304,CH,BB,112914.45,0.2
ABC305,CH,A,40970.59,0.2
ABC306,CH,BBB,95424.24,0.2
ABC307,CH,AA,92683.74,0.2
ABC308,CH,CCC,29461.95,0.2
ABC309,CH,A,21538.12,0.2
ABC310,CH,A,49730.58,0.2
ABC311,CH,A,33369.84,0.2
ABC312,CH,AA,47123.68,0.2
ABC313,CH,AA,22540.69,0.2
ABC314,CH,A,112242.94,0.2
ABC315,CH,BB,29446.4,0.2
ABC316,CH,A,43805.03,0.2
ABC317,CH,BBB,27522.94,0.2
ABC318,CH,A,138716.47,0.2
ABC319,CH,BBB,118219.73,0.2
ABC320,CH,A,10163.72,0.2
ABC321,CH,BBB,178177.84,0.2
ABC322,CH,BBB,10098.66,0.2
ABC323,CH,BB,187051.17,0.2
ABC324,CH,BBB,63122.83,0.2
ABC325,CH,BBB,159810.91,0.2
ABC326,CH,BBB,95613.66,0.2
ABC327,CH,BBB,434917.42,0.2
ABC328,CH,BBB,10841.35,0.2
ABC329,CH,BB,173837.14,0.2
ABC330,CH,BBB,6758.09,0.2
ABC331,CH,BB,35876.25,0.2
ABC332,CH,BB,220227.57,0.2
ABC333,CH,BBB,62968.37,0.2
ABC334,CH,BBB,4103.86,0.2
ABC335,CH,BB,461059.53,0.2
ABC336,CH,BBB,132473.16,0.2
ABC337,CH,BB,47305.9,0.2
ABC338,CH,BBB,227019.3,0.2
ABC339,CH,BBB,303128.22,0.2
ABC340,CH,BB,333542.75,0.2
ABC341,CH,BBB,96436.27,0.2
ABC342,CH,A,33747.89,0.2
ABC343,CH,BBB,65119.43,0.2
ABC344,CH,BBB,62450.77,0.2
ABC345,CH,BB,79911.6,0.2
ABC346,CH,CCC,20217.93,0.2
ABC347,CH,AA,296624.85,0.2
ABC348,CH,BBB,219702.94,0.2
ABC349,CH,BBB,78260.03,0.2
ABC350,CH,BB,97030.51,0.2
ABC351,CH,BBB,39650.35,0.2
ABC352,CH,A,68653.42,0.2
ABC353,CH,CCC,190936.24,0.2
ABC354,CH,BBB,27265.98,0.2
ABC355,CH,BB,119068.61,0.2
ABC356,CH,BBB,85890.25,0.2
ABC357,CH,BB,74016.08,0.2
ABC358,CH,A,64011.45,0.2
ABC359,CH,CCC,17073.14,0.2
ABC360,CH,BBB,67127.06,0.2
ABC361,CH,BBB,30272.86,0.2
ABC362,CH,BBB,37606.67,0.2
ABC363,CH,BB,458784.96,0.2
ABC364,CH,A,36779.89,0.2
ABC365,CH,BBB,137519.82,0.2
ABC366,CH,A,76795.02,0.2
ABC367,CH,BBB,262752.45,0.2
ABC368,CH,BBB,110632.01,0.2
ABC369,CH,BBB,56794.31,0.2
ABC370,CH,BBB,162589.63,0.2
ABC371,CH,BB,26082.54,0.2
ABC372,CH,A,297435.39,0.2
ABC373,CH,A,275916.23,0.2
ABC374,CH,BB,160930.59,0.2
ABC375,CH,A,31851.46,0.2
ABC376,CH,BBB,187528.07,0.2
ABC377,CH,BB,109988.97,0.2
ABC378,CH,BB,26201.61,0.2
ABC379,CH,A,73202.6,0.2
ABC380,CH,BBB,121548.05,0.2
ABC381,CH,A,19957.81,0.2
ABC382,CH,BBB,71355.39,0.2
ABC383,CH,B,43729.51,0.2
ABC384,CH,BBB,109226.13,0.2
ABC385,CH,BB,68208.36,0.2
ABC386,CH,BB,89923.11,0.2
ABC387,CH,B,35769.75,0.2
ABC388,CH,BBB,7057.66,0.2
ABC389,CH,BBB,12076.92,0.2
ABC390,CH,BB,53941.01,0.2
ABC391,CH,A,368267.77,0.2
ABC392,CH,BBB,46158.16,0.2
ABC393,CH,AA,11167.48,0.2
ABC394,CH,BBB,49392.7,0.2
ABC395,CH,BBB,163237.41,0.2
ABC396,CH,AA,35620.53,0.2
ABC397,CH,A,78305.14,0.2
ABC398,CH,B,324453.91,0.2
ABC399,CH,BB,54279.62,0.2
ABC400,CH,B,270056.41,0.2
ABC401,CH,BB,95393.85,0.2
ABC402,CH,BB,58532,0.2
ABC403,CH,BB,230640.47,0.2
ABC404,CH,A,8756.4,0.2
ABC405,CH,BBB,43556.89,0.2
ABC406,CH,A,178757.73,0.2
ABC407,CH,B,368297.45,0.2
ABC408,CH,A,35991.02,0.2
ABC409,CH,A,6456,0.2
ABC410,CH,AA,21342.71,0.2
ABC411,CH,AA,19270.54,0.2
ABC412,CH,A,5842.42,0.2
ABC413,CH,BB,45064.05,0.2
ABC414,CH,BB,45362.8,0.2
ABC415,CH,BBB,18605.28,0.2
ABC416,CH,BBB,104445.4,0.2
ABC417,CH,BBB,28359.48,0.2
ABC418,CH,A,2812.95,0.2
ABC419,CH,BBB,123731.99,0.2
ABC420,CH,BBB,167524.7,0.2
ABC421,CH,BBB,110704.58,0.2
ABC422,CH,BB,59353.7,0.2
ABC423,CH,BBB,58676.73,0.2
ABC424,CH,A,20838.93,0.2
ABC425,CH,A,25620.94,0.2
ABC426,CH,BBB,48380.15,0.2
ABC427,CH,BBB,150452.23,0.2
ABC428,CH,BBB,10834.28,0.2
ABC429,CH,BBB,19800.5,0.2
ABC430,CH,A,253982.4,0.2
ABC431,CH,A,22249.61,0.2
ABC432,CH,B,40494.85,0.2
ABC433,CH,BBB,21654.37,0.2
ABC434,CH,BBB,180696.89,0.2
ABC435,CH,BBB,126801.14,0.2
ABC436,CH,BBB,384249.85,0.2
ABC437,CH,BBB,85248.19,0.2
ABC438,CH,BBB,158481.41,0.2
ABC439,CH,A,51408.47,0.2
ABC440,CH,BBB,187378.91,0.2
ABC441,CH,A,8125.72,0.2
ABC442,CH,A,16127.15,0.2
ABC443,CH,BBB,56906.52,0.2
ABC444,CH,B,302334.03,0.2
ABC445,CH,BBB,5191.27,0.2
ABC446,CH,BBB,54024.87,0.2
ABC447,CH,A,157006.91,0.2
ABC448,CH,BBB,114060.61,0.2
ABC449,CH,A,23243.56,0.2
ABC450,CH,BB,21048.05,0.2
ABC451,CH,BBB,215784.93,0.2
ABC452,CH,BBB,73614,0.2
ABC453,CH,BBB,104.64,0.2
ABC454,CH,B,25250.93,0.2
ABC455,CH,BBB,67689.34,0.2
ABC456,CH,A,61064.95,0.2
ABC457,CH,A,49686.73,0.2
ABC458,CH,A,1912.12,0.2
ABC459,CH,BB,131515.92,0.2
ABC460,CH,A,104054.18,0.2
ABC461,CH,A,62575.92,0.2
ABC462,CH,BBB,9421.91,0.2
ABC463,CH,BBB,223604.51,0.2
ABC464,CH,B,60662.41,0.2
ABC465,CH,BBB,294177.84,0.2
ABC466,CH,BBB,20906.84,0.2
ABC467,CH,BBB,96548.85,0.2
ABC468,CH,BBB,151744.1,0.2
ABC469,CH,BBB,83629.98,0.2
ABC470,CH,BBB,78428.55,0.2
ABC471,CH,BB,16819.91,0.2
ABC472,CH,BBB,18313.51,0.2
ABC473,CH,BBB,117913.94,0.2
ABC474,CH,AA,280562.87,0.2
ABC475,CH,BB,95658.29,0.2
ABC476,CH,BBB,21939.79,0.2
ABC477,CH,BBB,34069.93,0.2
ABC478,CH,BBB,156398.05,0.2
ABC479,CH,BBB,428225.13,0.2
ABC480,CH,BBB,15542.29,0.2
ABC481,CH,A,18313.25,0.2
ABC482,CH,BBB,153649.8,0.2
ABC483,CH,BBB,65424.82,0.2
ABC484,CH,A,368065.73,0.2
ABC485,CH,BBB,117515.37,0.2
ABC486,CH,A,36190.27,0.2
ABC487,CH,A,56245.85,0.2
ABC488,CH,A,78396.76,0.2
ABC489,CH,A,538178.13,0.2
ABC490,CH,BB,191492.22,0.2
ABC491,CH,BBB,38675.12,0.2
ABC492,CH,B,121185.93,0.2
ABC493,CH,BB,56288.56,0.2
ABC494,CH,BB,47512.32,0.2
ABC495,CH,A,16123.25,0.2
ABC496,CH,BB,39264.96,0.2
ABC497,CH,BBB,145428.17,0.2
ABC498,CH,BB,46010.04,0.2
ABC499,CH,A,86037.98,0.2
ABC500,CH,BBB,271477.59,0.2
ABC501,CH,BBB,132294.38,0.2
ABC502,CH,A,90288.09,0.2
ABC503,CH,A,18277.99,0.2
ABC504,CH,A,39802.35,0.2
ABC505,CH,BBB,191747.28,0.2
ABC506,CH,BB,27945.14,0.2
ABC507,CH,AA,7494.02,0.2
ABC508,CH,A,20521.65,0.2
ABC509,CH,BBB,226224.04,0.2
ABC510,CH,BBB,130616.69,0.2
ABC511,CH,BBB,153603.1,0.2
ABC512,CH,BBB,56706.29,0.2
ABC513,CH,BB,34519.76,0.2
ABC514,CH,BBB,76813.96,0.2
ABC515,CH,BBB,52833.97,0.2
ABC516,CH,BBB,108292.14,0.2
ABC517,CH,BB,65635.02,0.2
ABC518,CH,BB,41558.27,0.2
ABC519,CH,CCC,11728.99,0.2
ABC520,CH,A,142664.75,0.2
ABC521,CH,BB,18883.67,0.2
ABC522,CH,BBB,19434.04,0.2
ABC523,CH,BBB,96028.91,0.2
ABC524,CH,BBB,216446.62,0.2
ABC525,CH,A,75228.39,0.2
ABC526,CH,BBB,41523.44,0.2
ABC527,CH,BBB,133549.98,0.2
ABC528,CH,BBB,236773.22,0.2
ABC529,CH,BB,55589.92,0.2
ABC530,CH,A,58546.99,0.2
ABC531,CH,A,37400.01,0.2
ABC532,CH,BB,147744.36,0.2
ABC533,CH,A,92478.27,0.2
ABC534,CH,CCC,99172.39,0.2
ABC535,CH,BB,135832.85,0.2
ABC536,CH,BBB,48280.34,0.2
ABC537,CH,BB,48012.62,0.2
ABC538,CH,AA,428.41,0.2
ABC539,CH,BBB,81751.06,0.2
ABC540,CH,BBB,8212.11,0.2
ABC541,CH,BB,266265.45,0.2
ABC542,CH,BBB,116735.48,0.2
ABC543,CH,BB,280197.27,0.2
ABC544,CH,BBB,82374.15,0.2
ABC545,CH,BB,33709.25,0.2
ABC546,CH,BB,44539.58,0.2
ABC547,CH,BB,19683.66,0.2
ABC548,CH,A,64150.71,0.2
ABC549,CH,AA,72960.85,0.2
ABC550,CH,BBB,77444.77,0.2
ABC551,CH,A,10859.68,0.2
ABC552,CH,BBB,160829.6,0.2
ABC553,CH,BBB,131735.47,0.2
ABC554,CH,A,238794.25,0.2
ABC555,CH,B,38566.96,0.2
ABC556,CH,CCC,403575.14,0.2
ABC557,CH,A,20200.89,0.2
ABC558,CH,A,8591.3,0.2
ABC559,CH,BB,123097.97,0.2
ABC560,CH,BBB,23652.7,0.2
ABC561,CH,AA,189267.91,0.2
ABC562,CH,BB,61739.72,0.2
ABC563,CH,BB,191315.55,0.2
ABC564,CH,BBB,72042.25,0.2
ABC565,CH,BBB,118859.53,0.2
ABC566,CH,BBB,33803.06,0.2
ABC567,CH,BBB,139459.74,0.2
ABC568,CH,BBB,129946.3,0.2
ABC569,CH,BB,113845.68,0.2
ABC570,CH,BBB,54598.94,0.2
ABC571,CH,BBB,230362.42,0.2
ABC572,CH,BB,104065.98,0.2
ABC573,CH,BBB,33411.86,0.2
ABC574,CH,BB,25479.49,0.2
ABC575,CH,A,162720.65,0.2
ABC576,CH,CCC,16655.11,0.2
ABC577,CH,BBB,1984.34,0.2
ABC578,CH,A,57109.2,0.2
ABC579,CH,A,15277.85,0.2
ABC580,CH,BBB,101230.18,0.2
ABC581,CH,A,49957.53,0.2
ABC582,CH,BB,24404.1,0.2
ABC583,CH,BBB,110586.92,0.2
ABC584,CH,A,92779.51,0.2
ABC585,CH,BBB,287508.8,0.2
ABC586,CH,A,68737.78,0.2
ABC587,CH,BBB,89701.82,0.2
ABC588,CH,BB,14599.63,0.2
ABC589,CH,AA,43230.52,0.2
ABC590,CH,BBB,58865.12,0.2
ABC591,CH,BBB,5068.17,0.2
ABC592,CH,A,67318.66,0.2
ABC593,CH,BBB,18046.01,0.2
ABC594,CH,A,60719.91,0.2
ABC595,CH,BBB,225262.27,0.2
ABC596,CH,A,89470.2,0.2
ABC597,CH,BBB,28609.07,0.2
ABC598,CH,BBB,40965.6,0.2
ABC599,CH,BBB,19560.68,0.2
ABC600,CH,BBB,205560.18,0.2
ABC601,CH,BB,20874.3,0.2
ABC602,CH,BB,74318.93,0.2
ABC603,CH,B,1115.15,0.2
ABC604,CH,BB,14157.67,0.2
ABC605,CH,BBB,98707.07,0.2
ABC606,CH,BBB,2447.25,0.2
ABC607,CH,BBB,232946.13,0.2
ABC608,CH,B,109089.24,0.2
ABC609,CH,BBB,19137.76,0.2
ABC610,CH,A,30132.1,0.2
ABC611,CH,A,20595.68,0.2
ABC612,CH,BBB,228044.37,0.2
ABC613,CH,BBB,214635.46,0.2
ABC614,CH,A,59252.89,0.2
ABC615,CH,BBB,6535.03,0.2
ABC616,CH,BBB,172591.84,0.2
ABC617,CH,A,66881.85,0.2
ABC618,CH,BB,49076.63,0.2
ABC619,CH,A,115131.7,0.2
ABC620,CH,AA,31778.95,0.2
ABC621,CH,A,16870.24,0.2
ABC622,CH,AA,35503.87,0.2
ABC623,CH,BBB,32841.15,0.2
ABC624,CH,A,169309.42,0.2
ABC625,CH,BBB,16783.4,0.2
ABC626,CH,A,42785.88,0.2
ABC627,CH,A,6071.6,0.2
ABC628,CH,BB,121187.66,0.2
ABC629,CH,A,67801.5,0.2
ABC630,CH,BB,23240.36,0.2
ABC631,CH,BBB,4736.34,0.2
ABC632,CH,A,25227.9,0.2
ABC633,CH,BBB,43137.31,0.2
ABC634,CH,BB,150578.05,0.2
ABC635,CH,BB,103588.78,0.2
ABC636,CH,BB,96446.84,0.2
ABC637,CH,BBB,59538.26,0.2
ABC638,CH,BB,228202.82,0.2
ABC639,CH,BBB,78242.15,0.2
ABC640,CH,A,4135.72,0.2
ABC641,CH,BB,23192.62,0.2
ABC642,CH,A,378930.05,0.2
ABC643,CH,BBB,65786.44,0.2
ABC644,CH,BBB,15019.58,0.2
ABC645,CH,AA,7028.97,0.2
ABC646,CH,AA,9098.21,0.2
ABC647,CH,BBB,235883.9,0.2
ABC648,CH,BBB,288235.87,0.2
ABC649,CH,BBB,12671.38,0.2
ABC650,CH,AA,11618.85,0.2
ABC651,CH,BB,73571.62,0.2
ABC652,CH,BB,182251.77,0.2
ABC653,CH,CCC,160221.29,0.2
ABC654,CH,BB,373800.44,0.2
ABC655,CH,BB,78277.49,0.2
ABC656,CH,A,33305.81,0.2
ABC657,CH,A,113054.53,0.2
ABC658,CH,BBB,179269.43,0.2
ABC659,CH,BB,94159.29,0.2
ABC660,CH,B,64854.04,0.2
ABC661,CH,BBB,66869.48,0.2
ABC662,CH,BBB,97655.8,0.2
ABC663,CH,BBB,107322.71,0.2
ABC664,CH,A,72943.75,0.2
ABC665,CH,BBB,88804.4,0.2
ABC666,CH,BBB,173195.57,0.2
ABC667,CH,BB,123666.75,0.2
ABC668,CH,AA,121529.25,0.2
ABC669,CH,B,249050.55,0.2
ABC670,CH,BBB,66099.44,0.2
ABC671,CH,BBB,37732.21,0.2
ABC672,CH,BB,117395.43,0.2
ABC673,CH,BBB,73232.95,0.2
ABC674,CH,A,9908.91,0.2
ABC675,CH,BBB,112312.08,0.2
ABC676,CH,B,52790.22,0.2
ABC677,CH,A,19627.3,0.2
ABC678,CH,BBB,171203.85,0.2
ABC679,CH,AA,14982.63,0.2
ABC680,CH,BBB,56122.6,0.2
ABC681,CH,A,44878.57,0.2
ABC682,CH,AA,37312.06,0.2
ABC683,CH,CCC,26150.75,0.2
ABC684,CH,A,155814.07,0.2
ABC685,CH,BB,84105.54,0.2
ABC686,CH,B,36969.61,0.2
ABC687,CH,BB,46243.97,0.2
ABC688,CH,A,55316.47,0.2
ABC689,CH,AA,67161.18,0.2
ABC690,CH,BBB,166243.08,0.2
ABC691,CH,BBB,12189.77,0.2
ABC692,CH,BBB,74417.77,0.2
